Taxa	Flow_col
FC1547	1
FC19976-1	2
FC19976-2	2
FC19976	1
FC19979-1	1
FC19979-2	2
FC19979-3	1
FC19979-4	2
FC19979-5	2
FC19979-6	1
FC19979-7	1
FC2108	2
FC2109	2
FC21340	1
FC29219	2
FC29333	1
FC30233	2
FC30265	1
FC30267	2
FC30282	2
FC30683	2
FC30684	2
FC30685	1
FC30687	2
FC30689	1
FC30691	1
FC30692	1
FC30694	2
FC30967	1
FC31122	2
FC31408	2
FC31409	2
FC31416	2
FC31557	2
FC31571	1
FC31572-3	2
FC31572	1
FC31579	1
FC31592	2
FC31622	1
FC31630	2
FC31649	1
FC31665	1
FC31676	1
FC31677	2
FC31678	1
FC31683	1
FC31684	1
FC31685	1
FC31689	1
FC31697	2
FC31700	2
FC31702	1
FC31707	2
FC31709	2
FC31715	1
FC31719	1
FC31721	2
FC31731	1
FC31732	2
FC31737	1
FC31744	1
FC31745	2
FC31750	2
FC31918	2
FC31919	2
FC31921	2
FC31927	2
FC31933	1
FC31934	2
FC31935	1
FC31943	2
FC31946	2
FC31952	2
FC32033	2
FC32141	2
FC32175	1
FC32176	1
FC33123	1
FC33243-1	NA
FC33243-2	NA
FC33243	1
FC3548	1
FC3609	2
FC3654-1	1
FC3654N	2
FC3659	1
FC3981	1
FC4002B	1
FC4002N	1
FC4007A	2
FC4007B	2
NSL22316	NA
PI101404A	2
PI101404B	2
PI103079	1
PI103080	1
PI103088	1
PI103091	1
PI103414	2
PI103415	1
PI103419A	2
PI103419B	2
PI104708	2
PI105579	2
PI123439	2
PI123440	2
PI123577A	2
PI123577B	1
PI123578	1
PI123587	2
PI123590	1
PI124871	1
PI131531	2
PI132201	2
PI132203	1
PI132204	2
PI132205	2
PI132206	2
PI132207	2
PI132214	1
PI132215	2
PI132217	1
PI133226	1
PI135589	1
PI135590	2
PI135624	2
PI142491	2
PI145079	2
PI148259	2
PI148260	2
PI151249	1
PI152361	2
PI152573	1
PI153203	1
PI153208	1
PI153209	2
PI153210	1
PI153211	1
PI153212	1
PI153213	2
PI153214	2
PI153215	2
PI153216	1
PI153217	1
PI153218	1
PI153219	1
PI153221	1
PI153222	1
PI153223	1
PI153225	1
PI153226	2
PI153227	2
PI153229	1
PI153230	1
PI153231	2
PI153233	2
PI153234	2
PI153235	2
PI153236	2
PI153237	2
PI153238	2
PI153239	2
PI153240	2
PI153241	2
PI153242	2
PI153243	1
PI153244	1
PI153245	2
PI153246	2
PI153247	2
PI153249	2
PI153250	2
PI153251	2
PI153252	2
PI153253	2
PI153255	2
PI153259	2
PI153261	2
PI153262	2
PI153263	2
PI153264	1
PI153265	2
PI153266	2
PI153267	2
PI153270	1
PI153271	2
PI153272	1
PI153273	1
PI153274	1
PI153275	1
PI153276	1
PI153277	1
PI153278	1
PI153279	1
PI153280	2
PI153281	2
PI153282	1
PI153283	1
PI153284	1
PI153285	2
PI153286	1
PI153287	2
PI153288	1
PI153289	2
PI153290	2
PI153291	2
PI153292	2
PI153293	2
PI153294	1
PI153296	2
PI153297	2
PI153299	2
PI153300	2
PI153301	2
PI153302	2
PI153303	1
PI153304	2
PI153305	2
PI153306	2
PI153308	2
PI153309	1
PI153310	2
PI153311	2
PI153313	2
PI153314	2
PI153315	1
PI153316	2
PI153317	2
PI153318	2
PI153319	2
PI153320	2
PI153321	2
PI153681	1
PI153682	2
PI154189	1
PI154190	1
PI154191	2
PI154192	2
PI154193	1
PI154194	2
PI154195	2
PI154196	2
PI154197	2
PI154198	2
PI154199	2
PI154200	2
PI157394	1
PI157395	2
PI157396	2
PI157397	1
PI157398	2
PI157401	1
PI157402	2
PI157404	2
PI157405	2
PI157406	1
PI157408	2
PI157409	2
PI157410	2
PI157413	1
PI157414	2
PI157416	1
PI157417	2
PI157419	2
PI157421	2
PI157422	2
PI157424	2
PI157428	2
PI157429	2
PI157430	2
PI157431	2
PI157432	1
PI157434	1
PI157435	2
PI157436	2
PI157437	1
PI157438	2
PI157439	2
PI157440	1
PI157441	2
PI157442	2
PI157443	2
PI157444	2
PI157445	2
PI157446	2
PI157447	2
PI157448	2
PI157449	2
PI157450	2
PI157451	2
PI157452	2
PI157453	2
PI157454	2
PI157456	2
PI157457	2
PI157458	2
PI157459	2
PI157460	2
PI157462	2
PI157468	1
PI157469	2
PI157470	2
PI157471	2
PI157472	2
PI157473	2
PI157474	2
PI157475	2
PI157476	2
PI157477	2
PI157478	2
PI157482	2
PI157483	2
PI157484	1
PI157485	2
PI157487A	1
PI157487B	1
PI157488	1
PI157490	2
PI157491	1
PI157492	2
PI157493	2
PI158751	2
PI158765	2
PI159093	1
PI159094	2
PI159095	1
PI159096	2
PI159097	1
PI159319	1
PI159321	1
PI159322	1
PI159764	2
PI159922	2
PI159923A	2
PI159923B	NA
PI159924	2
PI159925	1
PI159926	2
PI159927	1
PI161431A	1
PI161431B	1
PI161988	2
PI161989	2
PI163308	2
PI163453	2
PI164885	2
PI165524	2
PI165563	2
PI165578	1
PI165583	2
PI165671	1
PI165672	2
PI165673	2
PI165674	2
PI165675	2
PI165676	2
PI165896	2
PI165914	2
PI165926	2
PI165929	2
PI165943	1
PI165947	2
PI165989	2
PI166028	2
PI166032	2
PI166048	2
PI166105	2
PI166140	1
PI166141	1
PI166147	1
PI166438	1
PI167240	1
PI167277	2
PI170380	2
PI170886	1
PI170887	1
PI170888	1
PI170889	2
PI170890	1
PI170891	1
PI170892	2
PI170893	2
PI170895	2
PI170896	2
PI170899	2
PI171421	2
PI171427	1
PI171428	2
PI171429	1
PI171430	1
PI171431	2
